Hour,Temperature,Alpha,AOD,Cloud Type,Dew Point,GHI,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
0,8.8,0.63,0.037,0,6.2,50,83.65,85.46,0.94,0.1,1012,1.0,323,2.8
1,7.7,0.63,0.034,2,5.8,0,87.53,95.95,0.94,0.1,1013,1.0,325,2.9
2,7.3,0.65,0.031,2,5.9,0,90.63,107.03,0.93,0.1,1013,1.0,327,2.9
3,6.8,0.69,0.027,2,5.9,0,93.91,118.58,0.93,0.1,1014,0.9,328,2.9
4,6.3,0.74,0.023,2,5.8,0,96.46,130.37,0.92,0.1,1014,0.8,329,2.9
5,5.8,0.8,0.019,2,5.6,0,98.39,142.12,0.91,0.1,1015,0.8,334,2.8
6,5.4,0.88,0.017,2,5.2,0,98.83,153.32,0.9,0.1,1016,0.8,340,2.7
7,5.0,0.96,0.015,2,4.8,0,98.59,162.41,0.89,0.1,1016,0.8,349,2.5
8,4.6,1.05,0.015,3,4.3,0,98.25,164.66,0.89,0.1,1017,0.8,178,2.3
9,4.4,1.14,0.015,3,3.8,0,95.81,157.85,0.89,0.1,1017,0.8,7,2.2
10,4.2,1.23,0.016,3,3.2,0,92.99,147.27,0.89,0.1,1018,0.8,14,2.2
11,4.1,1.28,0.016,3,2.4,0,88.99,135.68,0.89,0.1,1018,0.8,15,2.1
12,4.2,1.3,0.017,4,1.7,0,83.67,123.86,0.89,0.1,1019,0.8,11,2.1
13,4.3,1.3,0.017,4,1.1,0,79.41,112.16,0.89,0.1,1019,0.8,5,2.0
14,4.4,1.31,0.017,3,0.4,0,75.27,100.84,0.89,0.1,1020,0.8,2,2.0
15,5.4,1.33,0.017,3,0.1,7,68.57,89.62,0.89,0.1,1021,0.8,3,1.7
16,7.4,1.35,0.016,0,1.7,134,67.34,80.28,0.88,0.1,1022,0.8,7,1.6
17,9.2,1.35,0.015,0,1.1,302,57.07,71.94,0.89,0.1,1022,0.8,9,1.7
18,10.3,1.11,0.021,0,0.2,425,49.44,65.53,0.9,0.1,1022,0.8,11,1.7
19,11.0,1.1,0.022,0,0.1,498,46.81,61.7,0.9,0.1,1022,0.8,17,1.5
20,11.5,1.1,0.023,0,0.1,510,45.56,60.96,0.9,0.1,1021,0.9,25,1.3
21,11.7,1.08,0.025,0,0.6,463,46.38,63.41,0.9,0.1,1021,0.9,35,1.0
22,11.5,1.09,0.025,0,1.1,362,48.81,68.72,0.9,0.1,1021,0.9,52,0.8
23,10.5,1.11,0.026,0,2.5,218,57.67,76.25,0.9,0.1,1021,0.9,81,0.8
0,9.1,1.12,0.026,2,2.9,52,65.27,85.32,0.89,0.1,1021,0.9,107,1.0
1,8.2,1.13,0.026,3,1.7,0,63.36,95.82,0.89,0.1,1022,0.9,119,1.1
2,7.8,1.15,0.027,3,1.7,0,65.35,106.89,0.89,0.1,1022,0.9,120,1.1
