Hour,Temperature,Alpha,AOD,Cloud Type,Dew Point,GHI,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
0,8.2,0.69,0.035,0,5.9,48,85.39,85.59,0.94,0.11,1006,1.0,323,2.6
1,7.0,0.7,0.032,0,5.2,0,88.52,96.11,0.94,0.11,1007,1.0,325,2.7
2,6.5,0.71,0.029,0,5.4,0,92.67,107.2,0.93,0.11,1007,0.9,327,2.8
3,6.0,0.74,0.026,0,5.5,0,96.48,118.76,0.93,0.11,1008,0.9,328,2.8
4,5.4,0.78,0.023,0,5.4,0,100.0,130.56,0.92,0.11,1008,0.8,329,2.7
5,5.0,0.83,0.02,0,5.0,0,100.0,142.32,0.91,0.11,1009,0.8,334,2.7
6,4.6,0.9,0.018,0,4.6,0,100.0,153.51,0.9,0.11,1009,0.7,340,2.6
7,4.1,0.97,0.016,0,4.1,0,100.0,162.55,0.89,0.11,1010,0.7,349,2.4
8,3.7,1.05,0.016,0,3.7,0,100.0,164.65,0.89,0.11,1011,0.7,178,2.3
9,3.3,1.14,0.016,0,3.3,0,100.0,157.72,0.89,0.11,1011,0.7,7,2.2
10,3.1,1.22,0.016,0,2.9,0,98.57,147.1,0.89,0.11,1012,0.7,14,2.1
11,2.9,1.28,0.017,0,2.2,0,95.3,135.49,0.89,0.11,1012,0.8,15,2.1
12,2.7,1.31,0.017,0,1.6,0,92.14,123.67,0.89,0.11,1013,0.8,11,2.1
13,2.7,1.32,0.017,0,1.0,0,88.36,111.97,0.89,0.11,1013,0.8,5,2.1
14,2.8,1.33,0.017,0,0.3,0,83.42,100.65,0.89,0.11,1014,0.8,2,2.0
15,3.9,1.34,0.017,0,-0.1,9,75.22,89.46,0.89,0.11,1015,0.8,3,1.8
16,6.0,1.36,0.016,0,1.3,144,71.86,80.11,0.88,0.11,1016,0.8,7,1.7
17,7.8,1.36,0.015,0,1.0,307,62.07,71.79,0.89,0.11,1016,0.8,9,1.9
18,9.1,1.14,0.02,0,0.6,431,55.1,65.41,0.9,0.11,1016,0.8,11,1.9
19,10.1,1.13,0.021,0,0.5,502,51.25,61.63,0.9,0.11,1016,0.8,17,1.7
20,10.7,1.13,0.021,0,0.3,514,48.68,60.93,0.9,0.11,1015,0.8,25,1.5
21,10.9,1.1,0.023,0,0.6,466,49.14,63.44,0.9,0.11,1015,0.8,35,1.3
22,10.7,1.11,0.023,0,1.0,364,51.29,68.79,0.9,0.11,1015,0.8,52,1.1
23,9.5,1.13,0.024,0,2.3,218,60.69,76.35,0.9,0.11,1015,0.8,81,0.9
0,8.0,1.14,0.024,2,2.7,50,69.35,85.45,0.89,0.11,1015,0.8,107,1.0
1,7.2,1.15,0.024,0,1.1,0,65.31,95.97,0.89,0.11,1016,0.8,119,1.1
2,6.8,1.16,0.024,0,1.0,0,66.48,107.06,0.89,0.11,1016,0.8,120,1.1
3,6.3,1.17,0.025,0,1.0,0,68.94,118.63,0.89,0.11,1017,0.8,113,1.1
4,5.7,1.18,0.025,0,1.1,0,72.45,130.42,0.89,0.11,1017,0.8,103,1.2
5,5.0,1.18,0.026,0,1.2,0,76.56,142.18,0.89,0.11,1017,0.7,95,1.5
6,4.2,1.19,0.026,0,1.3,0,81.29,153.37,0.88,0.11,1017,0.7,90,1.7
7,3.4,1.19,0.027,0,1.3,0,86.27,162.42,0.88,0.11,1017,0.7,88,1.9
8,2.8,1.19,0.028,0,1.3,0,90.12,164.59,0.89,0.11,1017,0.7,87,2.0
9,2.3,1.19,0.028,0,1.3,0,93.28,157.73,0.89,0.11,1017,0.7,85,2.1
10,1.9,1.18,0.029,0,1.2,0,95.41,147.14,0.89,0.11,1017,0.7,82,2.1
11,1.6,1.16,0.03,0,1.2,0,97.12,135.54,0.89,0.11,1017,0.7,80,2.1
12,1.3,1.15,0.031,0,1.2,0,99.33,123.71,0.9,0.11,1017,0.7,79,2.0
13,1.3,1.13,0.033,0,1.3,0,99.97,112.01,0.9,0.11,1017,0.8,79,1.9
14,1.5,1.12,0.036,4,1.4,0,99.55,100.68,0.91,0.11,1017,0.8,79,1.7
15,2.6,1.11,0.04,3,1.7,6,93.6,89.47,0.91,0.11,1018,0.9,75,1.7
16,4.5,1.1,0.044,0,2.5,144,86.64,80.11,0.91,0.11,1018,1.0,74,1.7
17,6.5,1.1,0.046,0,3.4,300,80.31,71.78,0.91,0.11,1018,1.0,86,1.5
18,8.7,1.17,0.036,0,4.6,423,75.38,65.37,0.91,0.11,1018,1.1,110,1.5
19,10.6,1.16,0.038,0,5.8,493,72.23,61.56,0.92,0.11,1017,1.1,141,1.9
20,11.7,1.12,0.04,0,6.8,505,71.91,60.84,0.93,0.11,1015,1.2,165,2.2
21,12.0,1.03,0.049,0,7.3,451,73.04,63.32,0.94,0.11,1014,1.2,176,2.2
22,11.7,1.01,0.051,3,7.7,133,76.54,68.66,0.94,0.11,1014,1.2,188,1.9
